code,system
F371000,readv2
F396100,readv2
N000000,readv2
F4D3300,readv2
M154100,readv2
ZRq9.11,readv2
H57y400,readv2
K01x400,readv2
K01x411,readv2
K0B4000,readv2
M154000,readv2
M154200,readv2
M154300,readv2
M154400,readv2
M154500,readv2
M154600,readv2
M154700,readv2
M154z00,readv2
N000200,readv2
N000300,readv2
N000400,readv2
N000600,readv2
N000z00,readv2
100692.0,med
101433.0,med
106086.0,med
108072.0,med
11920.0,med
20007.0,med
22205.0,med
25390.0,med
2667.0,med
29519.0,med
31564.0,med
33449.0,med
36942.0,med
40797.0,med
41148.0,med
4125.0,med
42719.0,med
44095.0,med
44984.0,med
45726.0,med
46148.0,med
47672.0,med
51798.0,med
57675.0,med
58706.0,med
63283.0,med
63955.0,med
65391.0,med
7522.0,med
7871.0,med
94751.0,med
Myu7800,readv2
Nyu4300,readv2
N000100,readv2
ZRq8.00,readv2
ZRq8.11,readv2
ZRq9.00,readv2
L93,icd10
M32,icd10
